start,end,length,gc_percent
0,200,200,50.0
100,300,200,50.0
200,400,200,50.0
300,500,200,50.0
400,600,200,50.0
500,700,200,50.0
600,800,200,50.0
700,900,200,50.0
800,1000,200,50.0
900,1100,200,75.0
1000,1200,200,100.0
1100,1300,200,100.0
1200,1400,200,100.0
1300,1500,200,100.0
1400,1600,200,100.0
1500,1700,200,100.0
1600,1800,200,100.0
1700,1900,200,100.0
1800,2000,200,100.0
1900,2100,200,50.0
2000,2200,200,0.0
2100,2300,200,0.0
2200,2400,200,0.0
2300,2500,200,0.0
2400,2600,200,0.0
2500,2700,200,0.0
2600,2800,200,0.0
2700,2900,200,0.0
2800,3000,200,0.0
