which,rank,start,end,length,gc_percent
lowest,1,2990000,2995000,5000,33.0
lowest,2,3797500,3802500,5000,33.22
lowest,3,2987500,2992500,5000,33.68
lowest,4,3800000,3805000,5000,34.5
lowest,5,2105000,2110000,5000,35.22
lowest,6,2102500,2107500,5000,36.04
lowest,7,2782500,2787500,5000,37.2
lowest,8,2992500,2997500,5000,37.980000000000004
lowest,9,3265000,3270000,5000,38.4
lowest,10,1210000,1215000,5000,38.800000000000004
highest,1,282500,287500,5000,62.9
highest,2,285000,290000,5000,61.6
highest,3,4317500,4322500,5000,61.08
highest,4,280000,285000,5000,60.919999999999995
highest,5,4315000,4320000,5000,60.68
highest,6,4320000,4325000,5000,60.519999999999996
highest,7,3617500,3622500,5000,59.5
highest,8,297500,302500,5000,58.96
highest,9,3615000,3620000,5000,58.4
highest,10,3760000,3765000,5000,58.32000000000001
